gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222,tol_24,tol_15
女,29歲以上,lb,二至三小時,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ncwsye,ncswey,ncwesy,cnswey,cneswy,nceswy
女,19～22歲,cs,二至三小時,,,,,,,最先看,最後看,中,commuting,csenwy,csenwy,cesnwy,csenwy,csenwy,censwy
女,19～22歲,oe,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,cnwsey,cnswey,cnwesy,cnswey,cneswy,censwy
男,22～28歲,oe,三至四小時,半至一小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,cwnsey,cwnsey,cnwesy,cwnsey,cwensy,censwy
女,19～22歲,mg,五小時以上,半至一小時,一至二小時,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,cnsewy,cneswy,cnsewy,cneswy,cneswy,censwy
女,16～18歲,lb,二至三小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,ncswye,ncswey,ncsewy,cnswey,cneswy,nceswy
男,19～22歲,mg,三至四小時,一至二小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,最後看,中,commuting,csweyn,csewny,csweny,csewny,csenwy,censwy
男,19～22歲,cs,三至四小時,半至一小時,半至一小時,半至一小時,一至二小時,半小時以下,半小時以下,最先看,中,最後看,working,scynwe,scnyew,scyenw,csnyew,csenwy,scenwy
女,19～22歲,cs,三至四小時,一至二小時,一至二小時,半至一小時,半小時以下,半至一小時,半至一小時,最先看,中,最後看,working,ncswey,ncswey,ncsewy,cnswey,cneswy,nceswy
女,29歲以上,sc,一至二小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,nwcsey,nwcsey,ncwesy,nwcsey,nwcesy,nceswy
